strain_id;probiotic_name;brand;strain_name;target;status;effect;icd;class;references_linkage;reference;taxonomy_id;detailed_effect;ncbi_genome;mbgd_genome;lineage
Probio_H_00001;Acinetobacter calcoaceticus;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T81Z;Amazon Website;471;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/2267;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [phylum:Proteobacteria]; [class:Gammaproteobacteria]; [order:Pseudomonadales]; [family:Moraxellaceae]; [genus:Acinetobacter]; [species group:Acinetobacter calcoaceticus/baumannii complex]"
Probio_H_00002;Akkermansia muciniphila;-;-;Human;Research;"Metabolic disorders; Obesity";"E88.8; E66";(E00-E90) Endocrine, nutritional and metabolic diseases;"http://www.ncbi.nlm.nih.gov/pubmed/?term=23671105; http://www.ncbi.nlm.nih.gov/pubmed/?term=22572875";"Everard A, Belzer C, Geurts L, Ouwerkerk JP, Druart C, Bindels LB, Guiot Y,  Derrien M, Muccioli GG, Delzenne NM, de Vos WM, Cani PD. Cross-talk between Akkermansia muciniphila and intestinal epithelium controls diet-induced obesity.  <i>Proc Natl Acad Sci U S A</i>. 2013 May 28. 110(22):9066-71.; Flint HJ, Scott KP, Duncan SH, Louis P, Forano E. Microbial degradation of complex carbohydrates in the gut. <i>Gut Microbes</i>. 2012 Jul-Aug. 3(4):289-306.";239935;[1] Treating Metabolic Disorders. [2] is a mucin-degrading bacterium that resides in the mucus layer. The presence of this bacterium inversely correlates with body weight in rodents and humans. In summary, this study provides substantial insight into the intricate mechanisms of bacterial (i.e., A. muciniphila) regulation of the cross-talk between the host and gut microbiota. These results also provide a rationale for the development of a treatment that uses this human mucus colonizer for the prevention or treatment of obesity and its associated metabolic disorders.;http://www.ncbi.nlm.nih.gov/genome/1598;http://mbgd.genome.ad.jp/htbin/MBGD_whole_html.pl?spec=amu;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:PVC group]; [phylum:Verrucomicrobia]; [class:Verrucomicrobiae]; [order:Verrucomicrobiales]; [family:Akkermansiaceae]; [genus:Akkermansia]"
Probio_H_00003;Arthrobacter citreus;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T77Z;Amazon Website;1670;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";-;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Micrococcales]; [family:Micrococcaceae]; [genus:Arthrobacter]"
Probio_H_00004;Arthrobacter globiformis;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T78Z;Amazon Website;1665;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/12154;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Micrococcales]; [family:Micrococcaceae]; [genus:Arthrobacter]"
Probio_H_00005;Arthrobacter luteus;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T79Z;Amazon Website;1710;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/15565;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Micrococcales]; [family:Promicromonosporaceae]; [genus:Cellulosimicrobium]"
Probio_H_00006;Arthrobacter simplex;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T80Z;Amazon Website;2045;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/34910;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Propionibacteriales]; [family:Nocardioidaceae]; [genus:Pimelobacter]"
Probio_H_00007;Atopobium minutum;-;-;Human;Research;Anti-cancerous activity;C00-C97;(C00-D48) Neoplasms;http://www.ncbi.nlm.nih.gov/pubmed/?term=20036023;Altonsy MO, Andrews SC, Tuohy KM. Differential induction of apoptosis in human colonic carcinoma cells (Caco-2) by Atopobium, and commensal, probiotic and enteropathogenic bacteria: mediation by the mitochondrial pathway. <i>Int J Food Microbiol</i>. 2010 Feb 28. 137(2-3):190-203.;1381;The results show a major apoptotic effect for the pathogens, mild effects for the probiotic strains and A. minutum, but no effect for commensal E. coli. The mild apoptotic effects observed are consistent with the beneficial roles of probotics in protection against colon cancer and suggest, for the first time, that A. minutum possesses similar advantageous, anti-cancerous activity.;http://www.ncbi.nlm.nih.gov/genome/11057;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Coriobacteriia]; [order:Coriobacteriales]; [family:Atopobiaceae]; [genus:Atopobium]"
Probio_H_00008;Azomonas agilis;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T76Z;Amazon Website;116849;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";-;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [phylum:Proteobacteria]; [class:Gammaproteobacteria]; [order:Pseudomonadales]; [family:Pseudomonadaceae]; [subfamily:Azotobacter group]; [genus:Azomonas]"
Probio_H_00009;Azospirillum brasilense;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T78Z;Amazon Website;192;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/11059;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [phylum:Proteobacteria]; [class:Alphaproteobacteria]; [order:Rhodospirillales]; [family:Rhodospirillaceae]; [genus:Azospirillum]"
Probio_H_00010;Azospirillum lipoferum;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T76Z;Amazon Website;193;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/11343;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [phylum:Proteobacteria]; [class:Alphaproteobacteria]; [order:Rhodospirillales]; [family:Rhodospirillaceae]; [genus:Azospirillum]"
